Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment
75,2,1000.39,2,2,4,224,At Risk / Lost Customers
47,2,1161.5,3,2,4,324,About to Sleep
198,2,207.8,1,2,1,121,At Risk / Lost Customers
166,1,95.19999999999999,2,1,1,211,At Risk / Lost Customers
79,1,964.83,2,1,4,214,At Risk / Lost Customers
358,1,168.0,1,1,1,111,At Risk / Lost Customers
39,2,437.82,3,2,2,322,Recent / New Customers
8,10,3692.28,5,5,5,555,Champions
50,2,603.71,3,2,3,323,About to Sleep
16,5,11990.960000000001,4,4,5,445,Champions
8,1,269.96,5,1,2,512,Recent / New Customers
311,2,561.71,1,2,3,123,At Risk / Lost Customers
5,3,2134.01,5,3,5,535,Loyal Customers
303,1,238.85,1,1,1,111,At Risk / Lost Customers
8,7,3781.7400000000002,5,5,5,555,Champions
261,1,456.90000000000003,1,1,2,112,At Risk / Lost Customers
289,1,145.92000000000002,1,1,1,111,At Risk / Lost Customers
86,1,351.65,2,1,2,212,At Risk / Lost Customers
23,10,9401.28,4,5,5,455,Champions
2,32,4124.6900000000005,5,5,5,555,Champions
40,2,519.61,3,2,3,323,About to Sleep
9,2,1020.4200000000001,5,2,4,524,About to Sleep
227,1,160.54000000000002,1,1,1,111,At Risk / Lost Customers
316,1,218.45000000000002,1,1,1,111,At Risk / Lost Customers
36,5,1315.83,3,4,4,344,Loyal Customers
35,3,657.8,3,3,3,333,Loyal Customers
21,2,2794.51,4,2,5,425,About to Sleep
78,1,440.42,2,1,2,212,At Risk / Lost Customers
247,1,415.7,1,1,2,112,At Risk / Lost Customers
40,1,197.71,3,1,1,311,Recent / New Customers
239,2,511.36,1,2,3,123,At Risk / Lost Customers
3,15,7281.38,5,5,5,555,Champions
4,9,2338.15,5,5,5,555,Champions
234,2,2040.1,1,2,4,124,At Risk / Lost Customers
17,1,196.94000000000003,4,1,1,411,Recent / New Customers
8,1,144.0,5,1,1,511,Recent / New Customers
39,1,214.89999999999998,3,1,1,311,Recent / New Customers
29,2,646.68,4,2,3,423,About to Sleep
211,2,9864.26,1,2,5,125,At Risk / Lost Customers
317,1,452.84999999999997,1,1,2,112,At Risk / Lost Customers
92,2,437.6,2,2,2,222,At Risk / Lost Customers
109,3,418.1,2,3,2,232,Loyal Customers
38,10,3338.2200000000003,3,5,5,355,Loyal Customers
51,2,618.27,3,2,3,323,About to Sleep
19,4,3811.22,4,4,5,445,Champions
10,8,3023.08,5,5,5,555,Champions
29,7,1032.58,4,5,4,454,Champions
29,10,2599.04,4,5,5,455,Champions
190,5,577.0600000000001,1,4,3,143,At Risk / Lost Customers
59,1,153.12,3,1,1,311,Recent / New Customers
22,1,739.1999999999999,4,1,3,413,About to Sleep
79,2,254.18,2,2,2,222,At Risk / Lost Customers
60,1,1579.51,3,1,4,314,About to Sleep
78,3,1126.85,2,3,4,234,Loyal Customers
23,5,2099.54,4,4,5,445,Champions
52,1,1193.32,3,1,4,314,About to Sleep
74,1,704.04,2,1,3,213,At Risk / Lost Customers
57,5,3344.38,3,4,5,345,Loyal Customers
278,1,315.6,1,1,2,112,At Risk / Lost Customers
2,4,2291.19,5,4,5,545,Champions
95,2,713.3,2,2,3,223,At Risk / Lost Customers
29,1,355.53000000000003,4,1,2,412,Recent / New Customers
22,1,177.31,4,1,1,411,Recent / New Customers
16,9,3641.24,4,5,5,455,Champions
15,3,1339.41,4,3,4,434,Loyal Customers
2,20,13689.67,5,5,5,555,Champions
232,1,180.1,1,1,1,111,At Risk / Lost Customers
276,1,305.1,1,1,2,112,At Risk / Lost Customers
106,2,641.13,2,2,3,223,At Risk / Lost Customers
212,2,2683.82,1,2,5,125,At Risk / Lost Customers
23,9,6620.4800000000005,4,5,5,455,Champions
11,7,4478.53,5,5,5,555,Champions
4,3,786.46,5,3,3,533,Loyal Customers
10,2,1270.88,5,2,4,524,About to Sleep
57,1,640.5,3,1,3,313,About to Sleep
59,4,2163.98,3,4,5,345,Loyal Customers
90,2,1689.18,2,2,4,224,At Risk / Lost Customers
67,8,6021.9,3,5,5,355,Loyal Customers
33,1,671.69,4,1,3,413,About to Sleep
239,1,486.1,1,1,2,112,At Risk / Lost Customers
24,3,1174.58,4,3,4,434,Loyal Customers
115,1,185.9,2,1,1,211,At Risk / Lost Customers
25,3,1013.26,4,3,4,434,Loyal Customers
128,6,3344.64,2,5,5,255,Loyal Customers
130,1,477.90999999999997,2,1,2,212,At Risk / Lost Customers
34,4,1775.18,3,4,4,344,Loyal Customers
5,2,1346.97,5,2,4,524,About to Sleep
22,12,3722.82,4,5,5,455,Champions
155,1,318.05,2,1,2,212,At Risk / Lost Customers
107,3,623.51,2,3,3,233,Loyal Customers
3,1,314.44,5,1,2,512,Recent / New Customers
335,1,114.0,1,1,1,111,At Risk / Lost Customers
331,1,919.98,1,1,3,113,At Risk / Lost Customers
149,2,2209.85,2,2,5,225,At Risk / Lost Customers
11,5,601.98,5,4,3,543,Loyal Customers
17,5,4051.17,4,4,5,445,Champions
11,4,1643.18,5,4,4,544,Champions
19,1,686.05,4,1,3,413,About to Sleep
30,1,91.68,4,1,1,411,Recent / New Customers
11,1,245.10000000000002,5,1,1,511,Recent / New Customers
1,11,3849.78,5,5,5,555,Champions
8,9,4881.88,5,5,5,555,Champions
325,1,63.0,1,1,1,111,At Risk / Lost Customers
58,1,620.13,3,1,3,313,About to Sleep
12,4,3807.15,5,4,5,545,Champions
151,3,2744.0299999999997,2,3,5,235,Loyal Customers
10,5,2996.05,5,4,5,545,Champions
330,1,225.9,1,1,1,111,At Risk / Lost Customers
5,2,610.52,5,2,3,523,About to Sleep
39,4,1970.6,3,4,4,344,Loyal Customers
25,6,1331.39,4,5,4,454,Champions
42,12,17628.46,3,5,5,355,Loyal Customers
59,4,1113.02,3,4,4,344,Loyal Customers
1,4,862.81,5,4,3,543,Loyal Customers
15,22,13787.54,4,5,5,455,Champions
4,31,12288.22,5,5,5,555,Champions
4,15,8476.57,5,5,5,555,Champions
8,7,2283.63,5,5,5,555,Champions
28,6,2863.08,4,5,5,455,Champions
372,1,89.14,1,1,1,111,At Risk / Lost Customers
114,1,4873.81,2,1,5,215,At Risk / Lost Customers
26,2,1247.6100000000001,4,2,4,424,About to Sleep
206,1,389.01,1,1,2,112,At Risk / Lost Customers
28,6,1035.8,4,5,4,454,Champions
127,4,855.91,2,4,3,243,Loyal Customers
70,2,869.67,3,2,3,323,About to Sleep
7,4,582.1,5,4,3,543,Loyal Customers
29,3,957.59,4,3,4,434,Loyal Customers
8,4,4939.99,5,4,5,545,Champions
80,2,797.71,2,2,3,223,At Risk / Lost Customers
20,1,219.0,4,1,1,411,Recent / New Customers
71,1,283.55,3,1,2,312,Recent / New Customers
7,8,2340.84,5,5,5,555,Champions
15,9,6868.29,4,5,5,455,Champions
292,1,603.42,1,1,3,113,At Risk / Lost Customers
30,10,2712.91,4,5,5,455,Champions
15,15,9736.52,4,5,5,455,Champions
97,3,1149.02,2,3,4,234,Loyal Customers
29,13,4396.13,4,5,5,455,Champions
1,1,848.55,5,1,3,513,About to Sleep
9,5,4708.86,5,4,5,545,Champions
106,1,353.86,2,1,2,212,At Risk / Lost Customers
4,2,1053.49,5,2,4,524,About to Sleep
151,2,1030.98,2,2,4,224,At Risk / Lost Customers
71,1,238.25,3,1,1,311,Recent / New Customers
5,2,644.95,5,2,3,523,About to Sleep
3,25,5781.7300000000005,5,5,5,555,Champions
32,6,2656.13,4,5,5,455,Champions
85,4,997.63,2,4,4,244,Loyal Customers
4,5,725.07,5,4,3,543,Loyal Customers
5,4,1031.41,5,4,4,544,Champions
371,1,427.8,1,1,2,112,At Risk / Lost Customers
28,7,2609.1,4,5,5,455,Champions
11,7,3980.7000000000003,5,5,5,555,Champions
71,4,836.33,3,4,3,343,Loyal Customers
114,1,453.01,2,1,2,212,At Risk / Lost Customers
24,12,18895.91,4,5,5,455,Champions
180,1,236.26000000000002,1,1,1,111,At Risk / Lost Customers
234,1,383.95,1,1,2,112,At Risk / Lost Customers
353,1,110.39999999999999,1,1,1,111,At Risk / Lost Customers
315,2,779.5699999999999,1,2,3,123,At Risk / Lost Customers
333,1,234.0,1,1,1,111,At Risk / Lost Customers
372,1,155.35,1,1,1,111,At Risk / Lost Customers
78,2,1013.04,2,2,4,224,At Risk / Lost Customers
64,1,427.6,3,1,2,312,Recent / New Customers
134,2,546.43,2,2,3,223,At Risk / Lost Customers
52,7,21279.29,3,5,5,355,Loyal Customers
2,11,4196.01,5,5,5,555,Champions
1,209,33719.73,5,5,5,555,Champions
4,5,4090.88,5,4,5,545,Champions
129,1,275.88,2,1,2,212,At Risk / Lost Customers
81,1,4366.78,2,1,5,215,At Risk / Lost Customers
23,6,21429.39,4,5,5,455,Champions
236,3,3010.74,1,3,5,135,At Risk / Lost Customers
281,2,3811.9500000000003,1,2,5,125,At Risk / Lost Customers
87,1,112.08,2,1,1,211,At Risk / Lost Customers
16,13,7857.1,4,5,5,455,Champions
117,2,2791.59,2,2,5,225,At Risk / Lost Customers
52,3,1531.44,3,3,4,334,Loyal Customers
8,2,1898.52,5,2,4,524,About to Sleep
138,2,494.08,2,2,3,223,At Risk / Lost Customers
317,1,1693.88,1,1,4,114,At Risk / Lost Customers
4,7,6989.63,5,5,5,555,Champions
239,1,1143.6,1,1,4,114,At Risk / Lost Customers
211,1,1351.45,1,1,4,114,At Risk / Lost Customers
60,1,892.47,3,1,3,313,About to Sleep
17,5,1386.04,4,4,4,444,Champions
20,6,822.23,4,5,3,453,Loyal Customers
38,8,3981.36,3,5,5,355,Loyal Customers
64,2,826.74,3,2,3,323,About to Sleep
5,5,2330.92,5,4,5,545,Champions
2,6,2225.91,5,5,5,555,Champions
9,2,574.42,5,2,3,523,About to Sleep
364,1,311.95,1,1,2,112,At Risk / Lost Customers
10,3,463.66,5,3,2,532,Loyal Customers
65,1,91.85,3,1,1,311,Recent / New Customers
192,1,324.92,1,1,2,112,At Risk / Lost Customers
374,1,192.60000000000002,1,1,1,111,At Risk / Lost Customers
257,1,400.54,1,1,2,112,At Risk / Lost Customers
335,2,545.48,1,2,3,123,At Risk / Lost Customers
53,2,860.41,3,2,3,323,About to Sleep
19,1,430.48,4,1,2,412,Recent / New Customers
366,1,254.03,1,1,2,112,At Risk / Lost Customers
10,3,6977.04,5,3,5,535,Loyal Customers
187,1,427.58,1,1,2,112,At Risk / Lost Customers
37,3,483.65000000000003,3,3,2,332,Loyal Customers
178,1,489.31,2,1,2,212,At Risk / Lost Customers
261,3,514.85,1,3,3,133,At Risk / Lost Customers
45,1,229.64000000000001,3,1,1,311,Recent / New Customers
102,1,125.92,2,1,1,211,At Risk / Lost Customers
148,2,1063.46,2,2,4,224,At Risk / Lost Customers
96,2,572.2,2,2,3,223,At Risk / Lost Customers
281,1,166.04000000000002,1,1,1,111,At Risk / Lost Customers
262,1,1542.08,1,1,4,114,At Risk / Lost Customers
3,4,942.34,5,4,4,544,Champions
214,1,92.72,1,1,1,111,At Risk / Lost Customers
71,2,948.88,3,2,4,324,About to Sleep
75,5,1759.5,2,4,4,244,Loyal Customers
60,1,397.12,3,1,2,312,Recent / New Customers
3,7,1474.72,5,5,4,554,Champions
6,3,430.15,5,3,2,532,Loyal Customers
3,6,1018.71,5,5,4,554,Champions
337,2,293.0,1,2,2,122,At Risk / Lost Customers
38,6,6814.64,3,5,5,355,Loyal Customers
262,1,215.05,1,1,1,111,At Risk / Lost Customers
32,2,383.03000000000003,4,2,2,422,Recent / New Customers
145,1,417.38,2,1,2,212,At Risk / Lost Customers
283,1,312.38,1,1,2,112,At Risk / Lost Customers
59,4,2612.86,3,4,5,345,Loyal Customers
173,1,134.1,2,1,1,211,At Risk / Lost Customers
34,2,683.13,3,2,3,323,About to Sleep
3,14,5591.42,5,5,5,555,Champions
144,4,2726.77,2,4,5,245,Loyal Customers
5,25,4022.35,5,5,5,555,Champions
70,2,1118.99,3,2,4,324,About to Sleep
66,8,1702.26,3,5,4,354,Loyal Customers
29,2,325.96000000000004,4,2,2,422,Recent / New Customers
267,4,354.09000000000003,1,4,2,142,At Risk / Lost Customers
22,1,871.54,4,1,3,413,About to Sleep
31,2,1050.89,4,2,4,424,About to Sleep
97,1,135.18,2,1,1,211,At Risk / Lost Customers
295,1,311.55,1,1,2,112,At Risk / Lost Customers
135,6,1957.1000000000001,2,5,4,254,Loyal Customers
79,3,1324.5,2,3,4,234,Loyal Customers
373,1,38.1,1,1,1,111,At Risk / Lost Customers
8,6,2179.93,5,5,5,555,Champions
211,2,1106.4,1,2,4,124,At Risk / Lost Customers
52,1,521.2,3,1,3,313,About to Sleep
138,1,147.12,2,1,1,211,At Risk / Lost Customers
26,2,1568.23,4,2,4,424,About to Sleep
283,1,559.12,1,1,3,113,At Risk / Lost Customers
26,7,4036.82,4,5,5,455,Champions
186,6,1607.0600000000002,1,5,4,154,At Risk / Lost Customers
84,2,380.64,2,2,2,222,At Risk / Lost Customers
327,2,599.97,1,2,3,123,At Risk / Lost Customers
282,1,374.0,1,1,2,112,At Risk / Lost Customers
143,2,343.2300000000001,2,2,2,222,At Risk / Lost Customers
58,2,2218.02,3,2,5,325,About to Sleep
4,12,1535.77,5,5,4,554,Champions
236,2,854.99,1,2,3,123,At Risk / Lost Customers
45,3,573.22,3,3,3,333,Loyal Customers
276,1,298.0,1,1,2,112,At Risk / Lost Customers
9,2,1463.04,5,2,4,524,About to Sleep
25,4,703.47,4,4,3,443,Loyal Customers
88,1,309.05,2,1,2,212,At Risk / Lost Customers
63,3,1175.22,3,3,4,334,Loyal Customers
68,2,1378.4,3,2,4,324,About to Sleep
214,2,354.12,1,2,2,122,At Risk / Lost Customers
24,1,380.46999999999997,4,1,2,412,Recent / New Customers
186,3,331.0,1,3,2,132,At Risk / Lost Customers
31,1,188.14,4,1,1,411,Recent / New Customers
42,2,372.8,3,2,2,322,Recent / New Customers
205,2,216.5,1,2,1,121,At Risk / Lost Customers
9,28,17654.54,5,5,5,555,Champions
265,1,138.68,1,1,1,111,At Risk / Lost Customers
18,2,509.58,4,2,3,423,About to Sleep
12,5,2919.81,5,4,5,545,Champions
176,2,750.0,2,2,3,223,At Risk / Lost Customers
40,5,2178.67,3,4,5,345,Loyal Customers
23,8,3075.04,4,5,5,455,Champions
3,5,1662.3,5,4,4,544,Champions
5,5,2483.63,5,4,5,545,Champions
149,2,363.65,2,2,2,222,At Risk / Lost Customers
139,4,3006.15,2,4,5,245,Loyal Customers
128,1,594.0,2,1,3,213,At Risk / Lost Customers
8,6,1335.19,5,5,4,554,Champions
17,1,164.23,4,1,1,411,Recent / New Customers
9,37,16587.09,5,5,5,555,Champions
161,1,405.38,2,1,2,212,At Risk / Lost Customers
64,1,176.97,3,1,1,311,Recent / New Customers
88,4,933.7,2,4,3,243,Loyal Customers
5,2,694.05,5,2,3,523,About to Sleep
35,5,2062.7,3,4,5,345,Loyal Customers
312,1,117.85,1,1,1,111,At Risk / Lost Customers
78,2,415.8,2,2,2,222,At Risk / Lost Customers
22,15,42055.96,4,5,5,455,Champions
24,3,607.53,4,3,3,433,Loyal Customers
2,7,2160.7,5,5,5,555,Champions
17,4,1063.9,4,4,4,444,Champions
15,4,1504.27,4,4,4,444,Champions
26,1,114.14,4,1,1,411,Recent / New Customers
64,8,11581.8,3,5,5,355,Loyal Customers
55,2,913.54,3,2,3,323,About to Sleep
131,3,683.9,2,3,3,233,Loyal Customers
36,2,604.51,3,2,3,323,About to Sleep
288,1,462.95,1,1,2,112,At Risk / Lost Customers
144,6,1603.99,2,5,4,254,Loyal Customers
16,7,2064.95,4,5,5,455,Champions
31,8,4167.22,4,5,5,455,Champions
2,3,1843.0,5,3,4,534,Loyal Customers
9,6,1064.07,5,5,4,554,Champions
6,4,1387.79,5,4,4,544,Champions
10,1,329.85,5,1,2,512,Recent / New Customers
1,11,4757.16,5,5,5,555,Champions
306,1,108.07,1,1,1,111,At Risk / Lost Customers
10,8,4017.54,5,5,5,555,Champions
7,2,266.39,5,2,2,522,Recent / New Customers
8,8,1856.63,5,5,4,554,Champions
89,1,771.91,2,1,3,213,At Risk / Lost Customers
10,1,160.18,5,1,1,511,Recent / New Customers
358,2,1660.9,1,2,4,124,At Risk / Lost Customers
112,1,135.95,2,1,1,211,At Risk / Lost Customers
7,4,452.24,5,4,2,542,Loyal Customers
4,86,11189.91,5,5,5,555,Champions
198,1,144.8,1,1,1,111,At Risk / Lost Customers
212,1,738.6,1,1,3,113,At Risk / Lost Customers
156,1,39.239999999999995,2,1,1,211,At Risk / Lost Customers
158,9,7374.900000000001,2,5,5,255,Loyal Customers
30,2,372.21999999999997,4,2,2,422,Recent / New Customers
243,1,390.54,1,1,2,112,At Risk / Lost Customers
19,1,97.5,4,1,1,411,Recent / New Customers
1,2,1239.38,5,2,4,524,About to Sleep
74,2,558.7,2,2,3,223,At Risk / Lost Customers
292,1,535.32,1,1,3,113,At Risk / Lost Customers
3,15,6924.11,5,5,5,555,Champions
31,3,409.5,4,3,2,432,Loyal Customers
23,2,503.76,4,2,3,423,About to Sleep
23,4,414.76,4,4,2,442,Loyal Customers
4,3,974.42,5,3,4,534,Loyal Customers
85,1,211.32,2,1,1,211,At Risk / Lost Customers
22,4,1226.89,4,4,4,444,Champions
196,3,455.88,1,3,2,132,At Risk / Lost Customers
107,3,534.85,2,3,3,233,Loyal Customers
4,13,9818.82,5,5,5,555,Champions
318,1,120.95,1,1,1,111,At Risk / Lost Customers
106,3,149.05,2,3,1,231,At Risk / Lost Customers
12,18,5655.91,5,5,5,555,Champions
174,2,513.7,2,2,3,223,At Risk / Lost Customers
56,1,81.57,3,1,1,311,Recent / New Customers
323,1,229.47,1,1,1,111,At Risk / Lost Customers
372,1,50.550000000000004,1,1,1,111,At Risk / Lost Customers
9,8,1661.8400000000001,5,5,4,554,Champions
1,13,4810.9400000000005,5,5,5,555,Champions
11,10,3466.28,5,5,5,555,Champions
53,5,3346.28,3,4,5,345,Loyal Customers
73,3,789.89,2,3,3,233,Loyal Customers
7,1,204.0,5,1,1,511,Recent / New Customers
16,28,7277.7,4,5,5,455,Champions
4,9,2616.38,5,5,5,555,Champions
64,2,689.9,3,2,3,323,About to Sleep
1,5,975.36,5,4,4,544,Champions
114,6,6912.0,2,5,5,255,Loyal Customers
23,2,661.3199999999999,4,2,3,423,About to Sleep
31,3,1247.5,4,3,4,434,Loyal Customers
11,2,799.48,5,2,3,523,About to Sleep
52,2,1010.1800000000001,3,2,4,324,About to Sleep
357,1,190.55,1,1,1,111,At Risk / Lost Customers
55,2,642.77,3,2,3,323,About to Sleep
74,2,921.88,2,2,3,223,At Risk / Lost Customers
138,3,881.07,2,3,3,233,Loyal Customers
80,3,908.46,2,3,3,233,Loyal Customers
9,2,676.99,5,2,3,523,About to Sleep
273,1,516.42,1,1,3,113,At Risk / Lost Customers
291,1,560.47,1,1,3,113,At Risk / Lost Customers
99,1,305.28000000000003,2,1,2,212,At Risk / Lost Customers
31,2,629.31,4,2,3,423,About to Sleep
32,10,3237.54,4,5,5,455,Champions
14,4,1835.91,4,4,4,444,Champions
64,2,656.6800000000001,3,2,3,323,About to Sleep
15,17,5836.86,4,5,5,455,Champions
212,1,348.15000000000003,1,1,2,112,At Risk / Lost Customers
78,3,1214.41,2,3,4,234,Loyal Customers
25,3,271.40000000000003,4,3,2,432,Loyal Customers
250,1,183.4,1,1,1,111,At Risk / Lost Customers
254,1,307.53000000000003,1,1,2,112,At Risk / Lost Customers
72,1,248.61,3,1,1,311,Recent / New Customers
191,1,346.98,1,1,2,112,At Risk / Lost Customers
13,4,1119.49,5,4,4,544,Champions
373,1,205.86,1,1,1,111,At Risk / Lost Customers
24,2,470.8,4,2,2,422,Recent / New Customers
